Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross income,Rating,Month,Hour,Hour_12
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.14,548.97,2019-01-05,13:08,Ewallet,522.83,26.14,9.1,1,13,1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29,Cash,76.4,3.82,9.6,3,10,10
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.22,340.53,2019-03-03,13:23,Credit card,324.31,16.22,7.4,3,13,1
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.29,489.05,2019-01-27,20:33,Ewallet,465.76,23.29,8.4,1,20,8
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.21,634.38,2019-02-08,10:37,Ewallet,604.17,30.21,5.3,2,10,10
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.89,627.62,2019-03-25,18:30,Ewallet,597.73,29.89,4.1,3,18,6
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.65,433.69,2019-02-25,14:36,Ewallet,413.04,20.65,5.8,2,14,2
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38,Ewallet,735.6,36.78,8.0,2,11,11
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.63,76.15,2019-01-10,17:15,Credit card,72.52,3.63,7.2,1,17,5
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.23,172.75,2019-02-20,13:27,Credit card,164.52,8.23,5.9,2,13,1
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.9,60.82,2019-02-06,18:07,Ewallet,57.92,2.9,4.5,2,18,6
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.1,107.14,2019-03-09,17:03,Cash,102.04,5.1,6.8,3,17,5
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.74,246.49,2019-02-12,10:25,Ewallet,234.75,11.74,7.1,2,10,10
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.6,453.5,2019-02-07,16:48,Ewallet,431.9,21.6,8.2,2,16,4
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21,Cash,713.8,35.69,5.7,3,19,7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.12,590.44,2019-01-15,16:19,Cash,562.32,28.12,4.5,1,16,4
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.13,506.64,2019-03-11,11:03,Credit card,482.51,24.13,4.6,3,11,11
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.78,457.44,2019-01-01,10:39,Credit card,435.66,21.78,6.9,1,10,10
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2,172.21,2019-01-21,18:00,Credit card,164.01,8.2,8.6,1,18,6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30,Ewallet,80.6,4.03,4.4,3,15,3
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24,Ewallet,430.2,21.51,4.8,2,11,11
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.2,277.14,2019-03-05,10:40,Ewallet,263.94,13.2,5.1,3,10,10
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20,Credit card,66.4,3.32,4.4,3,12,12
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15,Ewallet,172.8,8.64,9.9,2,11,11
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.29,279.18,2019-03-02,17:36,Ewallet,265.89,13.29,6.0,3,17,5
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.04,441.76,2019-03-22,19:20,Credit card,420.72,21.04,8.5,3,19,7
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.68,35.2,2019-02-08,15:31,Cash,33.52,1.68,6.7,2,15,3
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.77,184.11,2019-03-10,12:17,Credit card,175.34,8.77,7.7,3,12,12
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48,Cash,441.8,22.09,9.6,1,19,7
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2,235.21,2019-03-15,15:36,Cash,224.01,11.2,7.4,3,15,3
